id,genre
338,'Adventure'
338, 'Brawler'
338, 'RPG'
339,'Adventure'
339, 'Platform'
339, 'Puzzle'
339, 'Shooter'
340,'Adventure'
340, 'RPG'
341,'Adventure'
341, 'Indie'
341, 'Platform'
342,'Adventure'
342, 'Brawler'
342, 'RPG'
342, 'Simulator'
343,'Adventure'
343, 'RPG'
343, 'Shooter'
344,'Platform'
344, 'Puzzle'
344, 'Shooter'
345,'Adventure'
345, 'Platform'
346,'Adventure'
346, 'RPG'
346, 'Turn Based Strategy'
347,'Adventure'
347, 'Brawler'
347, 'Music'
347, 'Platform'
348,'Adventure'
348, 'Brawler'
348, 'Shooter'
348, 'Strategy'
349,'Adventure'
349, 'Shooter'
350,'Adventure'
350, 'RPG'
350, 'Shooter'
351,'Adventure'
351, 'Brawler'
352,'Adventure'
352, 'RPG'
353,'Adventure'
353, 'Platform'
354,'Adventure'
354, 'Indie'
354, 'RPG'
355,'Adventure'
355, 'Brawler'
356,'Adventure'
356, 'RPG'
357,'Adventure'
357, 'RPG'
358,'Adventure'
358, 'Platform'
359,'Fighting'
359, 'Platform'
360,'Arcade'
360, 'Indie'
360, 'Platform'
360, 'Shooter'
361,'Adventure'
361, 'Brawler'
362,'Adventure'
362, 'RPG'
362, 'Turn Based Strategy'
363,'Adventure'
363, 'RPG'
363, 'Simulator'
363, 'Visual Novel'
364,'Adventure'
364, 'RPG'
365,'Adventure'
365, 'Indie'
366,'Adventure'
366, 'Shooter'
367,'Adventure'
367, 'Platform'
368,'RPG'
368, 'Shooter'
369,'Adventure'
369, 'Indie'
369, 'Puzzle'
369, 'Simulator'
370,'Adventure'
370, 'Shooter'
371,'Shooter'
372,'Adventure'
372, 'RPG'
372, 'Turn Based Strategy'
373,'Brawler'
373, 'Shooter'
374,'Indie'
374, 'RPG'
374, 'Simulator'
374, 'Strategy'
375,'Adventure'
375, 'Shooter'
376,'Adventure'
376, 'Puzzle'
377,'Adventure'
377, 'RPG'
378,'Adventure'
378, 'RPG'
378, 'Turn Based Strategy'
379,'Shooter'
380,'Adventure'
380, 'RPG'
381,'Indie'
381, 'Platform'
381, 'Shooter'
381, 'Visual Novel'
382,'Adventure'
382, 'Brawler'
383,'Shooter'
384,'Shooter'
385,'Adventure'
385, 'RPG'
386,'Adventure'
386, 'Platform'
387,'Adventure'
387, 'Card & Board Game'
387, 'Indie'
387, 'Puzzle'
387, 'Strategy'
388,'Adventure'
388, 'Indie'
388, 'Puzzle'
388, 'RPG'
389,'Adventure'
389, 'RPG'
390,'Adventure'
390, 'RPG'
391,'Arcade'
391, 'Indie'
391, 'RPG'
392,'Adventure'
392, 'Brawler'
393,'Adventure'
393, 'Brawler'
393, 'RPG'
394,'Adventure'
394, 'Point-and-Click'
394, 'Puzzle'
394, 'Visual Novel'
395,'Shooter'
396,'Adventure'
396, 'RPG'
397,'Platform'
397, 'Shooter'
398,'Arcade'
399,'Adventure'
399, 'Arcade'
399, 'Indie'
399, 'Platform'
399, 'Strategy'
400,'Adventure'
400, 'RPG'
401,'Adventure'
401, 'RPG'
402,'Adventure'
402, 'Shooter'
403,'Adventure'
403, 'Platform'
403, 'Puzzle'
404,'Arcade'
404, 'Brawler'
404, 'Indie'
405,'Adventure'
405, 'Platform'
406,'RPG'
406, 'Shooter'
407,'Adventure'
407, 'Shooter'
408,'Adventure'
408, 'Puzzle'
408, 'RPG'
409,'Adventure'
409, 'Puzzle'
410,'Fighting'
410, 'Platform'
411,'RPG'
411, 'Shooter'
412,'Adventure'
412, 'Brawler'
413,'Adventure'
413, 'Brawler'
413, 'RPG'
414,'Brawler'
414, 'Indie'
415,'Platform'
416,'Adventure'
416, 'RPG'
417,'Adventure'
417, 'Shooter'
417, 'Tactical'
418,'Adventure'
418, 'Platform'
419,'Adventure'
419, 'RPG'
420,'Adventure'
420, 'Shooter'
421,'Shooter'
422,'RPG'
423,'Adventure'
423, 'Shooter'
424,'Platform'
425,'Indie'
425, 'Racing'
425, 'Sport'
426,'Adventure'
426, 'Brawler'
427,'Brawler'
428,'Adventure'
428, 'RPG'
428, 'Turn Based Strategy'
429,'Fighting'
430,'Simulator'
430, 'Sport'
431,'Adventure'
431, 'RPG'
432,'Racing'
433,'Adventure'
433, 'Shooter'
434,'Indie'
434, 'Point-and-Click'
434, 'Puzzle'
434, 'Simulator'
435,'Adventure'
435, 'RPG'
435, 'Shooter'
436,'Adventure'
436, 'RPG'
437,'Adventure'
437, 'Indie'
437, 'RPG'
437, 'Turn Based Strategy'
438,'Adventure'
438, 'RPG'
438, 'Shooter'
439,'Adventure'
439, 'Platform'
439, 'Puzzle'
439, 'Shooter'
440,'Adventure'
440, 'Platform'
441,'Adventure'
441, 'Platform'
442,'Adventure'
442, 'Indie'
442, 'Puzzle'
443,'Adventure'
443, 'Brawler'
443, 'RPG'
444,'Adventure'
444, 'RPG'
444, 'Turn Based Strategy'
445,'Brawler'
445, 'RPG'
446,'Adventure'
446, 'Platform'
447,'Adventure'
447, 'RPG'
447, 'Turn Based Strategy'
