Id,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
943,0.01,0.79,0.0,0.09,0.89
1489,0.55,0.25,0.01,0.07,0.89
293,0.6,0.21,0.0,0.08,0.89
171,0.01,0.79,0.0,0.08,0.88
1211,0.3,0.22,0.3,0.05,0.88
677,0.42,0.38,0.0,0.07,0.88
1503,0.28,0.33,0.13,0.14,0.88
1489,0.37,0.3,0.09,0.11,0.87
590,0.46,0.29,0.0,0.12,0.87
625,0.3,0.2,0.3,0.06,0.87
1194,0.4,0.07,0.37,0.01,0.85
82,0.52,0.25,0.0,0.08,0.85
1084,0.26,0.1,0.44,0.04,0.85
663,0.42,0.21,0.11,0.1,0.84
172,0.6,0.22,0.0,0.01,0.84
877,0.43,0.21,0.01,0.19,0.83
1242,0.39,0.26,0.12,0.05,0.83
1126,0.35,0.26,0.08,0.13,0.82
1041,0.24,0.28,0.19,0.12,0.82
1070,0.45,0.08,0.27,0.01,0.81
72,0.0,0.0,0.81,0.0,0.81
1378,0.46,0.25,0.02,0.07,0.8
1326,0.48,0.28,0.0,0.04,0.8
1509,0.42,0.24,0.07,0.06,0.8
1211,0.14,0.32,0.22,0.12,0.8
775,0.54,0.19,0.0,0.06,0.8
944,0.4,0.25,0.03,0.11,0.79
1079,0.38,0.34,0.0,0.08,0.79
1309,0.28,0.22,0.23,0.07,0.79
1332,0.43,0.3,0.0,0.05,0.78
1362,0.43,0.3,0.0,0.05,0.78
693,0.53,0.22,0.0,0.02,0.77
673,0.43,0.27,0.0,0.06,0.77
989,0.37,0.04,0.0,0.36,0.76
1140,0.47,0.18,0.0,0.12,0.76
789,0.33,0.32,0.0,0.11,0.76
491,0.48,0.2,0.01,0.06,0.76
1285,0.3,0.21,0.2,0.05,0.75
1400,0.32,0.18,0.19,0.05,0.75
1129,0.46,0.22,0.01,0.06,0.75
944,0.55,0.14,0.0,0.05,0.75
1269,0.36,0.3,0.02,0.06,0.74
673,0.41,0.27,0.0,0.06,0.74
630,0.31,0.35,0.02,0.06,0.74
1334,0.16,0.45,0.0,0.13,0.74
1460,0.53,0.2,0.0,0.01,0.74
1142,0.23,0.41,0.0,0.09,0.73
562,0.47,0.02,0.17,0.08,0.73
1237,0.6,0.02,0.0,0.1,0.72
79,0.35,0.31,0.0,0.06,0.72
1260,0.0,0.69,0.0,0.03,0.72
1215,0.19,0.53,0.0,0.0,0.71
1460,0.45,0.24,0.0,0.03,0.71
942,0.35,0.27,0.0,0.09,0.71
592,0.29,0.25,0.06,0.11,0.71
1224,0.14,0.37,0.0,0.19,0.71
81,0.37,0.26,0.01,0.06,0.71
1315,0.5,0.19,0.0,0.01,0.7
81,0.21,0.18,0.22,0.08,0.7
1511,0.28,0.31,0.05,0.05,0.69
952,0.26,0.33,0.03,0.06,0.68
678,0.15,0.1,0.38,0.04,0.68
933,0.0,0.59,0.0,0.09,0.68
1205,0.26,0.21,0.11,0.09,0.67
483,0.33,0.28,0.0,0.06,0.67
774,0.22,0.17,0.23,0.06,0.67
827,0.2,0.42,0.0,0.05,0.67
1511,0.24,0.31,0.01,0.11,0.67
849,0.28,0.3,0.0,0.08,0.67
507,0.33,0.05,0.25,0.04,0.67
1129,0.25,0.26,0.05,0.11,0.67
1511,0.35,0.23,0.03,0.06,0.66
952,0.14,0.38,0.0,0.14,0.66
630,0.15,0.35,0.0,0.16,0.66
530,0.35,0.25,0.0,0.05,0.65
1220,0.31,0.03,0.27,0.03,0.65
1296,0.25,0.25,0.0,0.15,0.64
582,0.47,0.15,0.0,0.02,0.64
974,0.44,0.1,0.04,0.05,0.64
579,0.17,0.2,0.2,0.07,0.64
1094,0.32,0.05,0.25,0.01,0.63
458,0.54,0.05,0.0,0.04,0.63
546,0.15,0.42,0.0,0.05,0.62
470,0.14,0.14,0.27,0.06,0.62
83,0.37,0.21,0.0,0.03,0.61
1131,0.22,0.25,0.04,0.09,0.6
